"";"profit_assumption";"group_1";"group_2";"group_3";"group_4";"group_5"
"1";"real_cond_goods";4;8;25;116;427
"2";"real_cond_works";0;0;1;6;27
"3";"real_dec_goods";21;78;160;330;635
"4";"real_dec_works";10;4;21;20;58
"5";"0.01_cond_goods";0;0;0;0;75
"6";"0.01_cond_works";0;0;0;0;11
"7";"0.01_dec_goods";0;0;0;0;329
"8";"0.01_dec_works";0;0;0;17;55
"9";"0.02_cond_goods";0;0;0;0;116
"10";"0.02_cond_works";0;0;0;0;17
"11";"0.02_dec_goods";0;0;0;58;491
"12";"0.02_dec_works";0;0;4;41;44
"13";"0.03_cond_goods";0;0;0;0;143
"14";"0.03_cond_works";0;0;0;0;19
"15";"0.03_dec_goods";0;0;0;203;487
"16";"0.03_dec_works";0;0;26;40;43
"17";"0.04_cond_goods";0;0;0;0;154
"18";"0.04_cond_works";0;0;0;0;19
"19";"0.04_dec_goods";0;0;0;304;485
"20";"0.04_dec_works";0;5;34;35;34
"21";"0.05_cond_goods";0;0;0;0;167
"22";"0.05_cond_works";0;0;0;1;19
"23";"0.05_dec_goods";0;0;50;346;464
"24";"0.05_dec_works";0;17;30;30;33
"25";"0.06_cond_goods";0;0;0;0;222
"26";"0.06_cond_works";0;0;0;4;19
"27";"0.06_dec_goods";0;0;121;329;455
"28";"0.06_dec_works";0;25;29;30;32
"29";"0.07_cond_goods";0;0;0;0;256
"30";"0.07_cond_works";0;0;0;8;17
"31";"0.07_dec_goods";0;0;192;324;443
"32";"0.07_dec_works";1;27;27;28;29
"33";"0.08_cond_goods";0;0;0;0;283
"34";"0.08_cond_works";0;0;0;8;17
"35";"0.08_dec_goods";0;0;233;316;429
"36";"0.08_dec_works";2;28;28;28;30
"37";"0.09_cond_goods";0;0;0;0;289
"38";"0.09_cond_works";0;0;0;10;16
"39";"0.09_dec_goods";0;12;276;314;422
"40";"0.09_dec_works";3;27;28;27;30
"41";"0.1_cond_goods";0;0;0;0;301
"42";"0.1_cond_works";0;0;0;11;12
"43";"0.1_dec_goods";0;54;264;307;410
"44";"0.1_dec_works";4;29;30;29;31
